pixel_id x y time_step species_id biomass
0 0 0 0.0000 0 9.983333e+00
0 0 0 0.0000 1 7.865656e+00
0 0 0 0.0000 2 5.018204e+00
0 0 0 0.0000 3 2.958230e+00
0 0 0 0.0000 4 2.011678e+00
0 0 0 0.0000 5 1.931819e+00
0 0 0 0.0000 6 1.482432e+00
0 0 0 0.0000 7 4.937786e-01
0 0 0 0.0000 8 5.046955e-01
0 0 0 0.0000 9 3.014639e-01
0 0 0 0.0000 10 9.970597e-01
0 0 0 0.0000 11 8.035163e-01
0 0 0 0.0000 12 5.931301e-01
0 0 0 0.0000 13 4.932267e-01
0 0 0 0.0000 14 3.997352e-01
0 0 0 0.0000 15 4.033776e-01
0 0 0 0.0000 16 3.019210e-01
0 0 0 0.0000 17 2.001700e-01
0 0 0 0.0000 18 1.530114e-01
0 0 0 0.0000 19 9.982469e-02
0 0 0 0.0000 20 1.003550e-01
0 0 0 0.0000 21 4.962534e-02
0 0 0 0.0000 22 4.961309e-02
0 0 0 0.0000 23 2.982911e-02
0 0 0 0.0000 24 2.999187e-02
0 0 0 0.0000 25 1.983157e-02
0 0 0 0.0000 26 2.023214e-02
0 0 0 0.0000 27 2.016186e-02
0 0 0 0.0000 28 9.921548e-03
0 0 0 0.0000 29 1.003619e-02
0 0 0 0.0000 30 9.999490e-03
0 0 0 0.0000 31 9.922904e-03
0 0 0 0.0000 32 9.880328e-03
0 0 0 0.0000 33 4.986719e-03
0 0 0 0.0000 34 4.963171e-03
0 0 0 0.0000 35 5.011575e-03
0 0 0 0.0000 36 2.018939e-03
0 0 0 0.0000 37 2.011100e-03
0 0 0 0.0000 38 1.002481e-03
0 0 0 0.0000 39 1.001447e-03
1 1 0 0.0000 0 9.957063e+00
1 1 0 0.0000 1 8.045544e+00
1 1 0 0.0000 2 4.947802e+00
1 1 0 0.0000 3 3.018920e+00
1 1 0 0.0000 4 1.986973e+00
1 1 0 0.0000 5 1.986948e+00
1 1 0 0.0000 6 1.513931e+00
1 1 0 0.0000 7 4.994402e-01
1 1 0 0.0000 8 5.022507e-01
1 1 0 0.0000 9 2.979882e-01
1 1 0 0.0000 10 9.782127e-01
1 1 0 0.0000 11 8.019368e-01
1 1 0 0.0000 12 6.126178e-01
1 1 0 0.0000 13 5.007658e-01
1 1 0 0.0000 14 4.071158e-01
1 1 0 0.0000 15 4.031566e-01
1 1 0 0.0000 16 2.977436e-01
1 1 0 0.0000 17 2.004008e-01
1 1 0 0.0000 18 1.471874e-01
1 1 0 0.0000 19 1.010255e-01
1 1 0 0.0000 20 1.000430e-01
1 1 0 0.0000 21 5.055078e-02
1 1 0 0.0000 22 5.008230e-02
1 1 0 0.0000 23 3.026735e-02
1 1 0 0.0000 24 3.005489e-02
1 1 0 0.0000 25 1.969264e-02
1 1 0 0.0000 26 2.020015e-02
1 1 0 0.0000 27 2.048477e-02
1 1 0 0.0000 28 9.927320e-03
1 1 0 0.0000 29 1.007087e-02
1 1 0 0.0000 30 1.010921e-02
1 1 0 0.0000 31 9.966767e-03
1 1 0 0.0000 32 9.945494e-03
1 1 0 0.0000 33 5.018874e-03
1 1 0 0.0000 34 4.968139e-03
1 1 0 0.0000 35 4.943208e-03
1 1 0 0.0000 36 1.998159e-03
1 1 0 0.0000 37 1.995209e-03
1 1 0 0.0000 38 1.001800e-03
1 1 0 0.0000 39 9.872631e-04
2 2 0 0.0000 0 1.028406e+01
2 2 0 0.0000 1 8.018111e+00
2 2 0 0.0000 2 5.035296e+00
2 2 0 0.0000 3 2.991160e+00
2 2 0 0.0000 4 2.009867e+00
2 2 0 0.0000 5 2.013461e+00
2 2 0 0.0000 6 1.508920e+00
2 2 0 0.0000 7 4.958071e-01
2 2 0 0.0000 8 4.928441e-01
2 2 0 0.0000 9 3.005830e-01
2 2 0 0.0000 10 9.927943e-01
2 2 0 0.0000 11 8.120998e-01
2 2 0 0.0000 12 5.918855e-01
2 2 0 0.0000 13 5.067865e-01
2 2 0 0.0000 14 4.039319e-01
2 2 0 0.0000 15 4.022214e-01
2 2 0 0.0000 16 3.047669e-01
2 2 0 0.0000 17 1.994566e-01
2 2 0 0.0000 18 1.514569e-01
2 2 0 0.0000 19 1.008362e-01
2 2 0 0.0000 20 1.003356e-01
2 2 0 0.0000 21 4.968512e-02
2 2 0 0.0000 22 5.045199e-02
2 2 0 0.0000 23 3.032369e-02
2 2 0 0.0000 24 3.005893e-02
2 2 0 0.0000 25 1.997235e-02
2 2 0 0.0000 26 2.007130e-02
2 2 0 0.0000 27 1.993012e-02
2 2 0 0.0000 28 9.975978e-03
2 2 0 0.0000 29 9.962543e-03
2 2 0 0.0000 30 9.946447e-03
2 2 0 0.0000 31 1.012319e-02
2 2 0 0.0000 32 9.996244e-03
2 2 0 0.0000 33 5.004078e-03
2 2 0 0.0000 34 5.059914e-03
2 2 0 0.0000 35 4.966002e-03
2 2 0 0.0000 36 1.996650e-03
2 2 0 0.0000 37 1.998683e-03
2 2 0 0.0000 38 1.019739e-03
2 2 0 0.0000 39 9.916319e-04
0 0 0 1.0000 0 9.566938e+00
0 0 0 1.0000 1 7.644259e+00
0 0 0 1.0000 2 4.938892e+00
0 0 0 1.0000 3 2.936733e+00
0 0 0 1.0000 4 2.003097e+00
0 0 0 1.0000 5 1.924052e+00
0 0 0 1.0000 6 1.478166e+00
0 0 0 1.0000 7 4.934962e-01
0 0 0 1.0000 8 5.044042e-01
0 0 0 1.0000 9 3.013788e-01
0 0 0 1.0000 10 8.591199e-01
0 0 0 1.0000 11 7.126948e-01
0 0 0 1.0000 12 5.281819e-01
0 0 0 1.0000 13 4.414973e-01
0 0 0 1.0000 14 3.604680e-01
0 0 0 1.0000 15 3.638083e-01
0 0 0 1.0000 16 2.735454e-01
0 0 0 1.0000 17 1.837604e-01
0 0 0 1.0000 18 1.413452e-01
0 0 0 1.0000 19 9.255762e-02
0 0 0 1.0000 20 9.320631e-02
0 0 0 1.0000 21 4.673248e-02
0 0 0 1.0000 22 4.681602e-02
0 0 0 1.0000 23 2.832367e-02
0 0 0 1.0000 24 2.847966e-02
0 0 0 1.0000 25 1.886124e-02
0 0 0 1.0000 26 1.927505e-02
0 0 0 1.0000 27 1.924089e-02
0 0 0 1.0000 28 9.488796e-03
0 0 0 1.0000 29 9.633580e-03
0 0 0 1.0000 30 9.626710e-03
0 0 0 1.0000 31 9.554532e-03
0 0 0 1.0000 32 9.523031e-03
0 0 0 1.0000 33 4.825783e-03
0 0 0 1.0000 34 4.808640e-03
0 0 0 1.0000 35 4.862756e-03
0 0 0 1.0000 36 1.967280e-03
0 0 0 1.0000 37 1.963350e-03
0 0 0 1.0000 38 9.840951e-04
0 0 0 1.0000 39 9.837461e-04
1 1 0 1.0000 0 9.542811e+00
1 1 0 1.0000 1 7.814054e+00
1 1 0 1.0000 2 4.870683e+00
1 1 0 1.0000 3 2.996535e+00
1 1 0 1.0000 4 1.978600e+00
1 1 0 1.0000 5 1.978733e+00
1 1 0 1.0000 6 1.509482e+00
1 1 0 1.0000 7 4.991513e-01
1 1 0 1.0000 8 5.019622e-01
1 1 0 1.0000 9 2.979051e-01
1 1 0 1.0000 10 8.428812e-01
1 1 0 1.0000 11 7.112938e-01
1 1 0 1.0000 12 5.455358e-01
1 1 0 1.0000 13 4.482458e-01
1 1 0 1.0000 14 3.671236e-01
1 1 0 1.0000 15 3.636090e-01
1 1 0 1.0000 16 2.697606e-01
1 1 0 1.0000 17 1.839723e-01
1 1 0 1.0000 18 1.359652e-01
1 1 0 1.0000 19 9.367102e-02
1 1 0 1.0000 20 9.291656e-02
1 1 0 1.0000 21 4.760396e-02
1 1 0 1.0000 22 4.725878e-02
1 1 0 1.0000 23 2.873979e-02
1 1 0 1.0000 24 2.853951e-02
1 1 0 1.0000 25 1.872912e-02
1 1 0 1.0000 26 1.924457e-02
1 1 0 1.0000 27 1.954906e-02
1 1 0 1.0000 28 9.494317e-03
1 1 0 1.0000 29 9.666874e-03
1 1 0 1.0000 30 9.732344e-03
1 1 0 1.0000 31 9.596767e-03
1 1 0 1.0000 32 9.585840e-03
1 1 0 1.0000 33 4.856900e-03
1 1 0 1.0000 34 4.813453e-03
1 1 0 1.0000 35 4.796418e-03
1 1 0 1.0000 36 1.947032e-03
1 1 0 1.0000 37 1.947837e-03
1 1 0 1.0000 38 9.834261e-04
1 1 0 1.0000 39 9.698127e-04
2 2 0 1.0000 0 9.966367e+00
2 2 0 1.0000 1 7.853269e+00
2 2 0 1.0000 2 4.978266e+00
2 2 0 1.0000 3 2.975502e+00
2 2 0 1.0000 4 2.003770e+00
2 2 0 1.0000 5 2.007456e+00
2 2 0 1.0000 6 1.505775e+00
2 2 0 1.0000 7 4.956046e-01
2 2 0 1.0000 8 4.926466e-01
2 2 0 1.0000 9 3.005228e-01
2 2 0 1.0000 10 9.025711e-01
2 2 0 1.0000 11 7.521046e-01
2 2 0 1.0000 12 5.495535e-01
2 2 0 1.0000 13 4.721019e-01
2 2 0 1.0000 14 3.780721e-01
2 2 0 1.0000 15 3.765080e-01
2 2 0 1.0000 16 2.861151e-01
2 2 0 1.0000 17 1.888336e-01
2 2 0 1.0000 18 1.439628e-01
2 2 0 1.0000 19 9.607548e-02
2 2 0 1.0000 20 9.570162e-02
2 2 0 1.0000 21 4.781186e-02
2 2 0 1.0000 22 4.861302e-02
2 2 0 1.0000 23 2.933533e-02
2 2 0 1.0000 24 2.908014e-02
2 2 0 1.0000 25 1.934143e-02
2 2 0 1.0000 26 1.945847e-02
2 2 0 1.0000 27 1.934270e-02
2 2 0 1.0000 28 9.695325e-03
2 2 0 1.0000 29 9.704937e-03
2 2 0 1.0000 30 9.707563e-03
2 2 0 1.0000 31 9.881089e-03
2 2 0 1.0000 32 9.763408e-03
2 2 0 1.0000 33 4.900132e-03
2 2 0 1.0000 34 4.958534e-03
2 2 0 1.0000 35 4.871132e-03
2 2 0 1.0000 36 1.963808e-03
2 2 0 1.0000 37 1.968187e-03
2 2 0 1.0000 38 1.007732e-03
2 2 0 1.0000 39 9.803806e-04
0 0 0 2.0000 0 9.183886e+00
0 0 0 2.0000 1 7.434985e+00
0 0 0 2.0000 2 4.862049e+00
0 0 0 2.0000 3 2.915546e+00
0 0 0 2.0000 4 1.994589e+00
0 0 0 2.0000 5 1.916348e+00
0 0 0 2.0000 6 1.473925e+00
0 0 0 2.0000 7 4.932141e-01
0 0 0 2.0000 8 5.041133e-01
0 0 0 2.0000 9 3.012937e-01
0 0 0 2.0000 10 7.402595e-01
0 0 0 2.0000 11 6.321380e-01
0 0 0 2.0000 12 4.703452e-01
0 0 0 2.0000 13 3.951931e-01
0 0 0 2.0000 14 3.250580e-01
0 0 0 2.0000 15 3.281204e-01
0 0 0 2.0000 16 2.478365e-01
0 0 0 2.0000 17 1.686960e-01
0 0 0 2.0000 18 1.305685e-01
0 0 0 2.0000 19 8.581957e-02
0 0 0 2.0000 20 8.656687e-02
0 0 0 2.0000 21 4.400825e-02
0 0 0 2.0000 22 4.417664e-02
0 0 0 2.0000 23 2.689420e-02
0 0 0 2.0000 24 2.704370e-02
0 0 0 2.0000 25 1.793839e-02
0 0 0 2.0000 26 1.836324e-02
0 0 0 2.0000 27 1.836199e-02
0 0 0 2.0000 28 9.074920e-03
0 0 0 2.0000 29 9.247123e-03
0 0 0 2.0000 30 9.267827e-03
0 0 0 2.0000 31 9.199836e-03
0 0 0 2.0000 32 9.178654e-03
0 0 0 2.0000 33 4.670040e-03
0 0 0 2.0000 34 4.658921e-03
0 0 0 2.0000 35 4.718355e-03
0 0 0 2.0000 36 1.916943e-03
0 0 0 2.0000 37 1.916734e-03
0 0 0 2.0000 38 9.660461e-04
0 0 0 2.0000 39 9.663579e-04
1 1 0 2.0000 0 9.161650e+00
1 1 0 2.0000 1 7.595513e+00
1 1 0 2.0000 2 4.795931e+00
1 1 0 2.0000 3 2.974479e+00
1 1 0 2.0000 4 1.970299e+00
1 1 0 2.0000 5 1.970585e+00
1 1 0 2.0000 6 1.505059e+00
1 1 0 2.0000 7 4.988627e-01
1 1 0 2.0000 8 5.016741e-01
1 1 0 2.0000 9 2.978219e-01
1 1 0 2.0000 10 7.262680e-01
1 1 0 2.0000 11 6.308955e-01
1 1 0 2.0000 12 4.857988e-01
1 1 0 2.0000 13 4.012338e-01
1 1 0 2.0000 14 3.310598e-01
1 1 0 2.0000 15 3.279406e-01
1 1 0 2.0000 16 2.444074e-01
1 1 0 2.0000 17 1.688906e-01
1 1 0 2.0000 18 1.255987e-01
1 1 0 2.0000 19 8.685192e-02
1 1 0 2.0000 20 8.629777e-02
1 1 0 2.0000 21 4.482893e-02
1 1 0 2.0000 22 4.459444e-02
1 1 0 2.0000 23 2.728932e-02
1 1 0 2.0000 24 2.710053e-02
1 1 0 2.0000 25 1.781273e-02
1 1 0 2.0000 26 1.833420e-02
1 1 0 2.0000 27 1.865608e-02
1 1 0 2.0000 28 9.080200e-03
1 1 0 2.0000 29 9.279082e-03
1 1 0 2.0000 30 9.369522e-03
1 1 0 2.0000 31 9.240503e-03
1 1 0 2.0000 32 9.239192e-03
1 1 0 2.0000 33 4.700153e-03
1 1 0 2.0000 34 4.663583e-03
1 1 0 2.0000 35 4.653987e-03
1 1 0 2.0000 36 1.897213e-03
1 1 0 2.0000 37 1.901589e-03
1 1 0 2.0000 38 9.653893e-04
1 1 0 2.0000 39 9.526708e-04
2 2 0 2.0000 0 9.667715e+00
2 2 0 2.0000 1 7.695068e+00
2 2 0 2.0000 2 4.922513e+00
2 2 0 2.0000 3 2.960007e+00
2 2 0 2.0000 4 1.997709e+00
2 2 0 2.0000 5 2.001488e+00
2 2 0 2.0000 6 1.502643e+00
2 2 0 2.0000 7 4.954023e-01
2 2 0 2.0000 8 4.924492e-01
2 2 0 2.0000 9 3.004627e-01
2 2 0 2.0000 10 8.205448e-01
2 2 0 2.0000 11 6.965410e-01
2 2 0 2.0000 12 5.102489e-01
2 2 0 2.0000 13 4.397909e-01
2 2 0 2.0000 14 3.538677e-01
2 2 0 2.0000 15 3.524383e-01
2 2 0 2.0000 16 2.686046e-01
2 2 0 2.0000 17 1.787764e-01
2 2 0 2.0000 18 1.368396e-01
2 2 0 2.0000 19 9.153948e-02
2 2 0 2.0000 20 9.128170e-02
2 2 0 2.0000 21 4.600923e-02
2 2 0 2.0000 22 4.684107e-02
2 2 0 2.0000 23 2.837918e-02
2 2 0 2.0000 24 2.813323e-02
2 2 0 2.0000 25 1.873044e-02
2 2 0 2.0000 26 1.886435e-02
2 2 0 2.0000 27 1.877260e-02
2 2 0 2.0000 28 9.422568e-03
2 2 0 2.0000 29 9.453993e-03
2 2 0 2.0000 30 9.474416e-03
2 2 0 2.0000 31 9.644778e-03
2 2 0 2.0000 32 9.535996e-03
2 2 0 2.0000 33 4.798346e-03
2 2 0 2.0000 34 4.859185e-03
2 2 0 2.0000 35 4.778074e-03
2 2 0 2.0000 36 1.931506e-03
2 2 0 2.0000 37 1.938156e-03
2 2 0 2.0000 38 9.958667e-04
2 2 0 2.0000 39 9.692570e-04
0 0 0 3.0000 0 8.830327e+00
0 0 0 3.0000 1 7.236864e+00
0 0 0 3.0000 2 4.787560e+00
0 0 0 3.0000 3 2.894662e+00
0 0 0 3.0000 4 1.986152e+00
0 0 0 3.0000 5 1.908706e+00
0 0 0 3.0000 6 1.469708e+00
0 0 0 3.0000 7 4.929323e-01
0 0 0 3.0000 8 5.038227e-01
0 0 0 3.0000 9 3.012087e-01
0 0 0 3.0000 10 6.378401e-01
0 0 0 3.0000 11 5.606861e-01
0 0 0 3.0000 12 4.188412e-01
0 0 0 3.0000 13 3.537451e-01
0 0 0 3.0000 14 2.931264e-01
0 0 0 3.0000 15 2.959332e-01
0 0 0 3.0000 16 2.245438e-01
0 0 0 3.0000 17 1.548666e-01
0 0 0 3.0000 18 1.206134e-01
0 0 0 3.0000 19 7.957203e-02
0 0 0 3.0000 20 8.040038e-02
0 0 0 3.0000 21 4.144283e-02
0 0 0 3.0000 22 4.168606e-02
0 0 0 3.0000 23 2.553688e-02
0 0 0 3.0000 24 2.568014e-02
0 0 0 3.0000 25 1.706070e-02
0 0 0 3.0000 26 1.749456e-02
0 0 0 3.0000 27 1.752323e-02
0 0 0 3.0000 28 8.679096e-03
0 0 0 3.0000 29 8.876170e-03
0 0 0 3.0000 30 8.922323e-03
0 0 0 3.0000 31 8.858307e-03
0 0 0 3.0000 32 8.846731e-03
0 0 0 3.0000 33 4.519324e-03
0 0 0 3.0000 34 4.513862e-03
0 0 0 3.0000 35 4.578243e-03
0 0 0 3.0000 36 1.867895e-03
0 0 0 3.0000 37 1.871225e-03
0 0 0 3.0000 38 9.483281e-04
0 0 0 3.0000 39 9.492770e-04
1 1 0 3.0000 0 8.809768e+00
1 1 0 3.0000 1 7.388863e+00
1 1 0 3.0000 2 4.723439e+00
1 1 0 3.0000 3 2.952746e+00
1 1 0 3.0000 4 1.962066e+00
1 1 0 3.0000 5 1.962505e+00
1 1 0 3.0000 6 1.500662e+00
1 1 0 3.0000 7 4.985744e-01
1 1 0 3.0000 8 5.013863e-01
1 1 0 3.0000 9 2.977388e-01
1 1 0 3.0000 10 6.257850e-01
1 1 0 3.0000 11 5.595840e-01
1 1 0 3.0000 12 4.326027e-01
1 1 0 3.0000 13 3.591523e-01
1 1 0 3.0000 14 2.985386e-01
1 1 0 3.0000 15 2.957711e-01
1 1 0 3.0000 16 2.214370e-01
1 1 0 3.0000 17 1.550452e-01
1 1 0 3.0000 18 1.160226e-01
1 1 0 3.0000 19 8.052923e-02
1 1 0 3.0000 20 8.015044e-02
1 1 0 3.0000 21 4.221567e-02
1 1 0 3.0000 22 4.208030e-02
1 1 0 3.0000 23 2.591206e-02
1 1 0 3.0000 24 2.573410e-02
1 1 0 3.0000 25 1.694118e-02
1 1 0 3.0000 26 1.746689e-02
1 1 0 3.0000 27 1.780389e-02
1 1 0 3.0000 28 8.684146e-03
1 1 0 3.0000 29 8.906846e-03
1 1 0 3.0000 30 9.020227e-03
1 1 0 3.0000 31 8.897464e-03
1 1 0 3.0000 32 8.905080e-03
1 1 0 3.0000 33 4.548465e-03
1 1 0 3.0000 34 4.518380e-03
1 1 0 3.0000 35 4.515786e-03
1 1 0 3.0000 36 1.848670e-03
1 1 0 3.0000 37 1.856440e-03
1 1 0 3.0000 38 9.476834e-04
1 1 0 3.0000 39 9.358318e-04
2 2 0 3.0000 0 9.386442e+00
2 2 0 3.0000 1 7.543115e+00
2 2 0 3.0000 2 4.867994e+00
2 2 0 3.0000 3 2.944673e+00
2 2 0 3.0000 4 1.991685e+00
2 2 0 3.0000 5 1.995554e+00
2 2 0 3.0000 6 1.499525e+00
2 2 0 3.0000 7 4.952002e-01
