"species","body_mass_g","is_basal"
0,10.3908159707237,1
1,11.1110598499211,1
2,11.689373754942,1
3,13.7632763986545,1
4,16.8034274438422,1
5,21.8120380440133,1
6,22.7808544018019,1
7,33.8716813659396,1
8,34.5751245045638,1
9,56.5583733926405,1
10,57.7596253318723,1
11,61.0090685233398,1
12,75.6255650921505,1
13,82.2648485461538,1
14,120.618825258167,1
15,192.013043341748,1
16,214.466596513991,1
17,424.386068386653,1
18,432.066303589684,1
19,767.791791472642,1
20,209.502325701508,0
21,462.58913965509,0
22,484.140347273262,0
23,1170.48774998471,0
24,2089.81810578964,0
25,2418.50598963968,0
26,3347.81385700276,0
27,3377.30414175309,0
28,4854.92603881467,0
29,7509.39848706686,0
30,46564.7229222575,0
31,49261.9071318237,0
32,54690.2142018732,0
33,119125.647809399,0
34,341488.169435522,0
35,516823.876051098,0
36,1316354.34040673,0
37,2709269.80953292,0
38,4883543.61883991,0
39,7200787.09898101,0
40,9307076.06521855,0
41,26486666.771978,0
42,32723099.4563042,0
43,49939338.065201,0
44,80522207.5770956,0
45,81204839.3074943,0
46,151110522.823626,0
47,179000510.8414,0
48,386912546.255808,0
49,697350692.652455,0
