pixel_id x y time_step species_id biomass
0 0 0 0.0000 0 8.000000e+00
0 0 0 0.0000 1 5.000000e-01
0 0 0 0.0000 2 4.000000e-01
1 1 0 0.0000 0 8.000000e+00
1 1 0 0.0000 1 5.000000e-01
1 1 0 0.0000 2 4.000000e-01
0 0 0 1.0000 0 7.387670e+00
0 0 0 1.0000 1 5.446655e-01
0 0 0 1.0000 2 3.920658e-01
1 1 0 1.0000 0 6.605958e+00
1 1 0 1.0000 1 7.292049e-01
1 1 0 1.0000 2 3.815888e-01
0 0 0 2.0000 0 6.845859e+00
0 0 0 2.0000 1 5.709641e-01
0 0 0 2.0000 2 3.838226e-01
1 1 0 2.0000 0 5.482487e+00
1 1 0 2.0000 1 8.916822e-01
1 1 0 2.0000 2 3.620024e-01
0 0 0 3.0000 0 6.371061e+00
0 0 0 3.0000 1 5.800658e-01
0 0 0 3.0000 2 3.753805e-01
1 1 0 3.0000 0 4.624485e+00
1 1 0 3.0000 1 9.720275e-01
1 1 0 3.0000 2 3.421761e-01
0 0 0 4.0000 0 5.957394e+00
0 0 0 4.0000 1 5.744871e-01
0 0 0 4.0000 2 3.668283e-01
1 1 0 4.0000 0 3.982128e+00
1 1 0 4.0000 1 9.848564e-01
1 1 0 4.0000 2 3.226881e-01
0 0 0 5.0000 0 5.597894e+00
0 0 0 5.0000 1 5.572900e-01
0 0 0 5.0000 2 3.582361e-01
1 1 0 5.0000 0 3.499937e+00
1 1 0 5.0000 1 9.519264e-01
1 1 0 5.0000 2 3.038570e-01
0 0 0 6.0000 0 5.285441e+00
0 0 0 6.0000 1 5.315363e-01
0 0 0 6.0000 2 3.496580e-01
1 1 0 6.0000 0 3.132936e+00
1 1 0 6.0000 1 8.918062e-01
1 1 0 6.0000 2 2.858423e-01
0 0 0 7.0000 0 5.013332e+00
0 0 0 7.0000 1 4.999759e-01
0 0 0 7.0000 2 3.411354e-01
1 1 0 7.0000 0 2.848507e+00
1 1 0 7.0000 1 8.177695e-01
1 1 0 7.0000 2 2.687135e-01
0 0 0 8.0000 0 4.775549e+00
0 0 0 8.0000 1 4.649138e-01
0 0 0 8.0000 2 3.326995e-01
1 1 0 8.0000 0 2.623855e+00
1 1 0 8.0000 1 7.385513e-01
1 1 0 8.0000 2 2.524896e-01
0 0 0 9.0000 0 4.566853e+00
0 0 0 9.0000 1 4.281857e-01
0 0 0 9.0000 2 3.243739e-01
1 1 0 9.0000 0 2.443136e+00
1 1 0 9.0000 1 6.596029e-01
1 1 0 9.0000 2 2.371615e-01
