",""Species"",""Diel_activity"",""Habitat_breadth_IUCN"",""Forest"",""Savanna"",""Shrubland"",""Grassland"",""Wetland"",""Rocky.areas"",""Caves.and.subterranean"",""Desert"",""Marine"",""Marine.intertidal.or.coastal.supratidal"",""Artificial"",""Introduced.vegetation"",""Class"",""Order"",""Family"",""Genus"",""logBM"",""logLongevity"",""logClutchSize"",""Herbivore"",""Omnivore"",""Carnivore"""
"1,""Alytes cisternasii"",""Nocturnal"",1.94591014905531,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Alytes"",1.80828877117927,7.69234151985886,5.01063529409626,0,0,1"
"2,""Alytes dickhilleni"",""Nocturnal"",1.79175946922805,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Alytes"",1.97649747134884,8.18688531105057,3.68887945411394,0,0,1"
"3,""Alytes muletensis"",""Nocturnal"",1.38629436111989,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Alytes"",0.837247524533702,8.11128939960044,2.60268968544438,0,0,1"
"4,""Alytes obstetricans"",""Other"",2.39789527279837,""1"",""0"",""1"",""0"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Alytidae"",""Alytes"",2.59525470695687,7.84649219968612,4.87519732320115,0,0,1"
"5,""Bombina bombina"",""Other"",2.484906649788,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bombinatoridae"",""Bombina"",1.77495235091167,8.8963143241848,5.24702407216049,0,0,1"
"6,""Bombina pachypus"",""Other"",2.39789527279837,""1"",""0"",""0"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bombinatoridae"",""Bombina"",2.32233053972327,8.67317077287059,5.7037824746562,0,0,1"
"7,""Bombina variegata"",""Other"",2.89037175789616,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bombinatoridae"",""Bombina"",1.91250108692418,9.26787788061728,4.49980967033027,0,0,1"
"8,""Bufo bufo"",""Other"",3.25809653802148,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Bufo"",5.10442917338262,9.58946150474475,8.59100111856096,0,0,1"
"9,""Bufo verrucosissimus"",""Other"",1.79175946922805,""1"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Bufo"",5.04333807012003,8.20316714362485,8.58391682345914,0,0,1"
"10,""Bufotes balearicus"",""Other"",2.81507472114689,""1"",""0"",""1"",""1"",""1"",""0"",""0"",""1"",""0"",""0"",""1"",""0"",""Amphibia"",""Anura"",""Bufonidae"",""Bufotes"",4.2150679621255,8.68249500726413,9.00914895647214,0,0,1"
