pixel_id x y time species delta_biomass
0 0 0 0.0000 0 4.208598e+00
0 0 0 0.0000 1 3.916335e+00
0 0 0 0.0000 2 3.583076e+01
0 0 0 0.0000 3 3.244350e+01
0 0 0 1.0000 0 9.643018e-01
0 0 0 1.0000 1 8.973364e-01
0 0 0 1.0000 2 3.988718e+01
0 0 0 1.0000 3 3.195730e+01
0 0 0 2.0000 0 7.774217e-01
0 0 0 2.0000 1 7.234341e-01
0 0 0 2.0000 2 3.775522e+01
0 0 0 2.0000 3 3.405229e+01
0 0 0 3.0000 0 9.790412e-01
0 0 0 3.0000 1 9.110522e-01
0 0 0 3.0000 2 3.486679e+01
0 0 0 3.0000 3 3.644845e+01
0 0 0 4.0000 0 9.950731e-01
0 0 0 4.0000 1 9.259708e-01
0 0 0 4.0000 2 3.687851e+01
0 0 0 4.0000 3 3.462747e+01
0 0 0 5.0000 0 8.182240e-01
0 0 0 5.0000 1 7.614029e-01
0 0 0 5.0000 2 3.982893e+01
0 0 0 5.0000 3 3.215159e+01
0 0 0 6.0000 0 7.119940e-01
0 0 0 6.0000 1 6.625500e-01
0 0 0 6.0000 2 4.072093e+01
0 0 0 6.0000 3 3.145436e+01
0 0 0 7.0000 0 6.547516e-01
0 0 0 7.0000 1 6.092828e-01
0 0 0 7.0000 2 4.043121e+01
0 0 0 7.0000 3 3.177002e+01
0 0 0 8.0000 0 6.263117e-01
0 0 0 8.0000 1 5.828178e-01
0 0 0 8.0000 2 3.996770e+01
0 0 0 8.0000 3 3.221364e+01
0 0 0 9.0000 0 6.067164e-01
0 0 0 9.0000 1 5.645833e-01
0 0 0 9.0000 2 3.984043e+01
0 0 0 9.0000 3 3.234691e+01
0 0 0 10.0000 0 5.900096e-01
0 0 0 10.0000 1 5.490367e-01
0 0 0 10.0000 2 3.989762e+01
0 0 0 10.0000 3 3.231182e+01
