Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,0,0,0,0,0,0,0,0,0
2, 1,0,0,0,0,0,0,0,0,0
3, 1,0,0,0,0,0,0,0,0,0
4, 1,0,0,0,0,0,0,0,0,0
5, 1,0,0,0,0,0,0,0,0,0
6, 1,0,0,0,0,0,0,0,0,0
7, 1,0,0,0,0,0,0,0,0,0
8, 1,0,0,0,0,0,0,0,0,0
9, 1,0,0,0,0,0,0,0,0,0
10, 1,0,0,0,0,0,0,0,0,0
11, 1,0,0,0,0,0,0,0,0,0
12, 1,0,0,0,0,0,0,0,0,0
13, 2,0,0,0,0,0,0,0,0,0
14, 2,0,0,0,0,0,0,0,0,0
15, 2,0,0,0,0,0,0,0,0,0
16, 2,0,0,0,0,0,0,0,0,0
17, 2,0,0,0,0,0,0,0,0,0
18, 2,0,0,0,0,0,0,0,0,0
19, 2,0,0,0,0,0,0,0,0,0
20, 2,0,0,0,0,0,0,0,0,0
21, 2,0,0,0,0,0,0,0,0,0
22, 2,0,0,0,0,0,0,0,0,0
23, 2,0,0,0,0,0,0,0,0,0
24, 2,0,0,0,0,0,0,0,0,0
25, 3,0,0,0,0,0,0,0,0,0
26, 3,0,0,0,0,0,0,0,0,0
27, 3,0,0,0,0,0,0,0,0,0
28, 3,0,0,0,0,0,0,0,0,0
29, 3,0,0,0,0,0,0,0,0,0
30, 3,0,0,0,0,0,0,0,0,0
31, 3,0,0,0,0,0,0,0,0,0
32, 3,0,0,0,0,0,0,0,0,0
33, 3,0,0,0,0,0,0,0,0,0
34, 3,0,0,0,0,0,0,0,0,0
35, 3,0,0,0,0,0,0,0,0,0
